date_stamp,date,day,month,year,city,state,location,geo_longitude,geo_latitude,geo_accuracy,shape,summary
41965,11/22/14,22,11,2014,Jacksonville,NC,"Jacksonville, NC",-77.4302415,34.7540524,city,Circle,Looking up in sky saw round circle orbit like.not a star...no way. A airplane before it and one after we're with it. It moved quite
41965,11/22/14,22,11,2014,Clarksville,TN,"Clarksville, TN",-87.3098696,36.5285918,city,Formation,Triangular red lights.
41965,11/22/14,22,11,2014,Rancho Santa Margarita,CA,"Rancho Santa Margarita, CA",-117.5854943,33.658862,city,Changing,It was an spiraling object.
41965,11/22/14,22,11,2014,Fayetteville,GA,"Fayetteville, GA",-84.4549262,33.4487257,city,Flash,Green streak flies past road 2 or 3 times.
41965,11/22/14,22,11,2014,Phillipsburg,KS,"Phillipsburg, KS",-99.3239853,39.7561207,city,Unknown,"7 objects with red, blue, and white lights and one moving star in Kansas night sky"
41965,11/22/14,22,11,2014,Detroit,MI,"Detroit, MI",-83.0567375,42.3486635,city,Fireball,((NUFORC Note: Witness provies no information about the event. PD))
41965,11/22/14,22,11,2014,Murfreesboro,TN,"Murfreesboro, TN",-86.44469333,35.9155165,city,Disk,Disc-shaped object falls vertically from sky then stalls before disappearing.
41965,11/22/14,22,11,2014,Vineland,NJ,"Vineland, NJ",-75.0257241,39.4862245,city,Unknown,Two shapes see descending toward earth.
41965,11/22/14,22,11,2014,Odenton,MD,"Odenton, MD",-76.7000224,39.0837774,administrative,Light,"4 bright lighted objects high up in ther sky hovering, and then moving away."
41965,11/22/14,22,11,2014,Memphis,TN,"Memphis, TN",-90.0516285,35.1490215,city,Light,"An extremely bright, white light shot across the sky that moved at a much faster speed than any kind of airplane, then it vanished."
41965,11/22/14,22,11,2014,Atlantic Beach,FL,"Atlantic Beach, FL",-81.37037013,30.342165,administrative,Changing,Unusual points of light in the Atlantic Beach sky.
41964,11/21/14,21,11,2014,Fairfield,OH,"Fairfield, OH",-82.6418883,39.7886111,administrative,Triangle,V-shaped lights over Fairfield & Hamilton Ohio.
41964,11/21/14,21,11,2014,Hidden Valley,CA,"Hidden Valley, CA",-114.1126719,51.1510854,suburb,Fireball,Strange large fireball... not moving and then disappearing.
41964,11/21/14,21,11,2014,Pasadena,MD,"Pasadena, MD",-76.55069665,39.1106375,administrative,Formation,Orange orbs flying in patterns/formation.
41964,11/21/14,21,11,2014,Roseville,CA,"Roseville, CA",-121.2907535,38.7632095,city,Fireball,"Fireball in northern sky near Roseville, CA."
41964,11/21/14,21,11,2014,Carrollton,GA,"Carrollton, GA",-85.0766113,33.5801103,city,Circle,Multiple sets of circular chasing lights hover and relocate randomly above shop.
41964,11/21/14,21,11,2014,Carrollton,GA,"Carrollton, GA",-85.0766113,33.5801103,city,Circle,Multiple sets of circular chasing lights hover and relocate randomly above shop.
41964,11/21/14,21,11,2014,Rockford,AL,"Rockford, AL",-86.2196936,32.8895681,village,Cigar,Bright multi-colored image in the eastern part of sky moving erratically with flashing lights. Then after about an hour one image turn
41964,11/21/14,21,11,2014,Mentor,OH,"Mentor, OH",-81.339552,41.6661573,city,Unknown,Wave formations of lights exceeding 70 aircraft that looked like small balls of fire.
41964,11/21/14,21,11,2014,St. Louis,MO,"St. Louis, MO",-90.1978889,38.6272733,city,Other,"Swirling lights following me, but as if to be chasing each other at same time."
41964,11/21/14,21,11,2014,Farmington,CT,"Farmington, CT",-72.8320435,41.7198216,town,Triangle,"((HOAX??)) It was big, quiet and triangular."
41964,11/21/14,21,11,2014,Farmington Hills,MI,"Farmington Hills, MI",-83.3771553,42.4853125,city,Light,"I was driving westbound on 1-696 at approx 5:10 p.m. I witnessed what appeared to be at very high altitude, short chemtrails."
41964,11/21/14,21,11,2014,Columbia,MD,"Columbia, MD",-76.8546725,39.2151996,administrative,Egg,"((HOAX??)) While sitting in traffic, I noticed three specks in the sky."
41964,11/21/14,21,11,2014,Linthicum,MD,"Linthicum, MD",-76.6597094,39.2039094,administrative,Unknown,"3 close and slow moving (?), flaming objects high in atmosphere, moving southerly toward a common focal point- mid atlantic/BWI region."
41964,11/21/14,21,11,2014,Columbia,MD,"Columbia, MD",-76.8546725,39.2151996,administrative,Unknown,On the way to Hickory Ridge Rd. either 295 to 95 Howard County. Two going down parallel with one coming down behind them . Looked like
41964,11/21/14,21,11,2014,Somerset,NJ,"Somerset , NJ",-74.6189556,40.5675084,administrative,Unknown,"I was in a car with my family on our way home and it was during sunset. I'm not completely sure if it was a ufo, however I believe it w"
41964,11/21/14,21,11,2014,Millsboro,DE,"Millsboro, DE",-75.2913018,38.5915023,administrative,Circle,White red glowing orb flying west to east at medium rate of speed but faster then any plane I've seen.
41964,11/21/14,21,11,2014,Millsboro,DE,"Millsboro, DE",-75.2913018,38.5915023,administrative,Oval,White bright orb pulsing.
41964,11/21/14,21,11,2014,Carbondale,IL,"Carbondale, IL",-89.216655,37.7274692,city,Light,Comet-like white orb of light abruptly stops in the sky and slowly hovers around the skies south of Carbondale.
41963,11/20/14,20,11,2014,Torrance,CA,"Torrance, CA",-118.3406288,33.8358492,city,Oval,Red balloon-like orb traveling at a high rate of speed.
41963,11/20/14,20,11,2014,Tahlequah,OK,"Tahlequah, OK",-94.969956,35.91537,city,Triangle,Triangle craft with lights at corners moving silently.
41963,11/20/14,20,11,2014,Baton Rouge,LA,"Baton Rouge, LA",-91.154551,30.4507462,city,Light,At least 20 bright orange/gold lights moving across the sky in Baton Rouge.
41963,11/20/14,20,11,2014,Macon,GA,"Macon, GA",-83.6324022,32.8406946,city,Sphere,"Initially, looked like a shooting star, that was immediatly upon us-went from blue to glowing green-shot downward fast."
41963,11/20/14,20,11,2014,Snellville,GA,"Snellville, GA",-84.0199108,33.857328,administrative,Fireball,Green ball of light with orange tip falling from the sky.
41963,11/20/14,20,11,2014,Grand Blanc,MI,"Grand Blanc, MI",-83.6299518,42.9275277,city,Formation,"Grand Blanc, Mi., two lights not blinking in a staggered formation, low altitude, and no sound."
41963,11/20/14,20,11,2014,Decatur,TN,"Decatur, TN",-88.1083982,35.6067875,county,Fireball,"Tennessee, Meigs Co., Decatur green ball of light in sky."
41963,11/20/14,20,11,2014,Winter Haven,FL,"Winter Haven, FL",-81.7328568,28.0222435,city,Fireball,"I noticed a fireball object with lights on it in the sky tonight, and it stood very still for for almost 7 minutes."
41963,11/20/14,20,11,2014,Florence,AL,"Florence, AL",-87.677251,34.79981,administrative,Light,My daughter and I were sitting at the traffic light at Cox Creek Pkwy and Florence Blvd. facing S.W.? A large white light streaked.
41963,11/20/14,20,11,2014,Fox Island,WA,"Fox Island, WA",-119.3327972,46.301524,island,Triangle,"FOX ISLAND, WA. WINGED TRIANGLE. TWO MIN FLAT BLACK SEEN BY ANYONE OUTSIDE 11/20/14."
41963,11/20/14,20,11,2014,Shinnston,WV,"Shinnston, WV",-80.3008402,39.3953654,city,Other,"Low altitude craft flies over car, and possible physical evidence."
41963,11/20/14,20,11,2014,Old Lyme,CT,"Old Lyme, CT",-72.3289715,41.3159315,village,Fireball,"Falling ""star"" comet."
41963,11/20/14,20,11,2014,Tucson,AZ,"Tucson, AZ",-110.9264759,32.2217422,city,Flash,3 flashing objects near Casino del Sol.
41963,11/20/14,20,11,2014,Little River,SC,"Little River, SC",-78.6229563,33.8623834,river,Light,Multiple strobe like blinking objects headed northeast. Three lit up to orange color and went out in sequence. Blinking objects cont..
41963,11/20/14,20,11,2014,Salinas,CA,"Salinas, CA",-121.6560114,36.6777078,city,Fireball,"Four glowing orbs over Salinas, CA."
41963,11/20/14,20,11,2014,Creve Coeur,IL,"Creve Coeur, IL",-90.4226181,38.6608855,city,Circle,Pulled into parents driveway when noticed up above across sky a red and white bright round object like never seen before. Took video
41963,11/20/14,20,11,2014,Honolulu,HI,"Honolulu, HI",-157.8556764,21.304547,administrative,Light,There is a bright white lighted object flying erratically above the Koko head shooting range. I filmed over an hour of footage. The lig
41963,11/20/14,20,11,2014,Elkhorn,WI,"Elkhorn, WI",-88.5445447,42.6727927,city,Formation,Light formation in the sky for 30 minutes in Southeastern Wisconsin
41963,11/20/14,20,11,2014,Flintville,TN,"Flintville, TN",-86.4197134,35.0625857,hamlet,Cigar,Three cigar shapes objects in the sky.
41963,11/20/14,20,11,2014,Concord,NH,"Concord, NH",-71.5370216,43.207106,city,Unknown,Heard an incredibly loud booming and rumbling noise that faded and grew loud again for about five minutes. I work from home and am use
41963,11/20/14,20,11,2014,Jacksonville,FL,"Jacksonville, FL",-81.655651,30.3321838,city,Circle,"Saw two black jets, bright reflective ball fell from sky, followed them then ended up in front of them then shot straight up."
41963,11/20/14,20,11,2014,Topeka,KS,"Topeka, KS",-95.6775557,39.0490111,city,Light,"""Satellite"" that pulsed brightly 5 times."
41962,11/19/14,19,11,2014,Myrtle Beach,SC,"Myrtle Beach, SC",-78.8817622,33.6955167,city,Circle,An orange orb over Myrtle Beach was sighted two times in 3 days and I fear for my safety.
41962,11/19/14,19,11,2014,Woodlake,CA,"Woodlake, CA",-119.0987176,36.4135606,city,Flash,They have move very slow and still flashing.
41962,11/19/14,19,11,2014,Dubuque,IA,"Dubuque, IA",-90.6647967,42.5006217,city,Unknown,If you ever watched animal planet and seen the deep sea jellyfish glowing in the dark it was like that but shaped like big football.
41962,11/19/14,19,11,2014,Duarte,CA,"Duarte, CA",-117.9772873,34.1394513,city,Sphere,Three flickering red and yellow orbs.
41962,11/19/14,19,11,2014,Zephyrhills,FL,"Zephyrhills, FL",-82.18523489,28.241311,administrative,Sphere,11/19/14 20:18 pm Zephyrhills Fl sphere/oval 27 seconds huge reddish-orange fiery shimmering west to south 100% clear skies landed
41962,11/19/14,19,11,2014,Fernley,NV,"Fernley, NV",-119.2144685,39.5483805,city,Triangle,THREE (3) very bright lights in elongated triangle shape travelling at low speed wink out simultaneously.
41962,11/19/14,19,11,2014,Stringer,MS,"Stringer, MS",-89.2633939,31.8668234,hamlet,Light,Small light travelling across sky got bright and instantly changed direction and vanished.
41962,11/19/14,19,11,2014,Abington,PA,"Abington, PA",-75.1179512,40.1206656,town,Light,"Two orange, elongated, thin, objects, that slowly disappeared when plane came."
41962,11/19/14,19,11,2014,Baton Rouge,LA,"Baton Rouge, LA",-91.154551,30.4507462,city,Circle,Orange light in sky over Baton Rouge.
41962,11/19/14,19,11,2014,Worcester,MA,"Worcester, MA",-71.8022934,42.2625932,city,Cylinder,"Bright white cylinder. June St., Chandler intersection."
41962,11/19/14,19,11,2014,Rancho Bernardo,CA,"Rancho Bernardo, CA",-117.0610495,33.0186103,hamlet,Sphere,Small black sphere the size of a soccer ball with colorfull flashing lights ascends into the sky and disappears.
41962,11/19/14,19,11,2014,Grover Beach,CA,"Grover Beach, CA",-120.6218376,35.1209452,town,Light,"Three orange lights forming a triangle 2 people saw them, moveing east to west calif, central coast."
41962,11/19/14,19,11,2014,Tulsa,OK,"Tulsa, OK",-95.9904093,36.1524357,city,Sphere,Silver ball sphere next to sun.
41962,11/19/14,19,11,2014,Mobile,AL,"Mobile, AL",-88.0430541,30.6943566,city,Changing,Large shape-changing fiery object.
41961,11/18/14,18,11,2014,Denver,CO,"Denver, CO",-104.9847034,39.7391536,city,Flash,One flashing ball of light and 9 other balls of light in the Denver sky.
41961,11/18/14,18,11,2014,El Cerrito,CA,"El Cerrito, CA",-122.3028248,37.9142771,administrative,Triangle,"Triangular craft hovering, then drove off."
41961,11/18/14,18,11,2014,Socastee,SC,"Socastee, SC",-78.9986488,33.6830012,administrative,Formation,Fading lights and unusually moving lights.
41961,11/18/14,18,11,2014,Pulaski,VA,"Pulaski, VA",-80.7297289,37.0580572,county,Sphere,"Multicolored noiseless objects sitting in the night sky over Pulaski County, Virginia. ((NUFORC Note: Possible stars?? PD))"
41961,11/18/14,18,11,2014,Miami,FL,"Miami, FL",-80.1936589,25.7742658,city,Flash,Two red flashes of light over turnpike near Cutler Ridge. Caused streetlights go out.
41961,11/18/14,18,11,2014,Townsend,DE,"Townsend, DE",-75.6915973,39.3951115,administrative,Rectangle,"4 people witnessed this amazing event, 3 sep. objects.HUGE, MAJESTIC, LIGHTS BRILLIANT QUIET, LOW"
41961,11/18/14,18,11,2014,Eagle River,AK,"Eagle River, AK",-149.6845843,61.3097767,river,Fireball,Absolutely stationary fireball around 300 feet over the inlet.
41961,11/18/14,18,11,2014,Cosmopolis,WA,"Cosmopolis, WA",-123.7737763,46.955372,city,Triangle,I went outside and saw three triangular shapes flying by.
41961,11/18/14,18,11,2014,Glendale,AZ,"Glendale, AZ",-112.404683,33.558997,city,Formation,Orange lights spotted in the northwestern sky either on a large aircraft or five small aircrafts in formation.
41961,11/18/14,18,11,2014,Zephyrhills,FL,"Zephyrhills, FL",-82.18523489,28.241311,administrative,Oval,"11/18/14 19:49 Zephyrhills FL oval/sphere 11 minutes 4 reddish-orange moved west to south no sound, no wings and no additional lights"
41961,11/18/14,18,11,2014,Sulphur,OK,"Sulphur, OK",-96.9683498,34.5078669,city,Other,Upside-down V-shaped lights on top of no noise dark as night i could see through it.
41961,11/18/14,18,11,2014,Bayonne,NJ,"Bayonne, NJ",-74.1143091,40.6687141,city,,Strange lights over Newark airport.
41961,11/18/14,18,11,2014,Waynesboro,VA,"Waynesboro, VA",-78.90552129,38.065698,city,Formation,"40 bright white dots traveling quickly, Augusta county Virginia."
41961,11/18/14,18,11,2014,Nacogdoches,TX,"Nacogdoches, TX",-94.5927451,31.5970503,administrative,Light,"Two white lights slowly moved apart, and then faded away."
41961,11/18/14,18,11,2014,Albertville,AL,"Albertville, AL",-86.2088669,34.2675937,city,Light,"Came about 6:00 pm saw to my north a some clouds but something was going round and round and then it went a bit further out, it seemed."
41961,11/18/14,18,11,2014,White Plains,GA,"White Plains, GA",-83.035429,33.4720779,city,Oval,Saw this object traveling roughly NW to SE. It was light color (white/grey) with a darker shade area along midline and slightly above
41961,11/18/14,18,11,2014,Bentonville,AR,"Bentonville, AR",-94.23840497,36.411795,city,Light,"Blue light on each side, white on top, red on bottom; stationary."
41961,11/18/14,18,11,2014,Lexington,KY,"Lexington, KY",-84.4970393,38.0464066,city,Sphere,Fast moving grey mass spherical not defined hot looking orange aura bottom edge no lights complete stop and direction change 3 times.
41961,11/18/14,18,11,2014,Fort Wayne,IN,"Fort Wayne, IN",-85.1386015,41.0799898,city,Formation,Three large bright lights slowly moved south. I could not see the craft itself. The lights slowed and stayed in one spot low in the sky
41961,11/18/14,18,11,2014,Tuscumbia,AL,"Tuscumbia, AL",-87.70253,34.7312005,city,Other,Ive been seeing things in the sky for months. To be exact september till present day. Last night I seen 2 light's in the sky.
41960,11/17/14,17,11,2014,Jonesboro,AR,"Jonesboro, AR",-90.66822465,35.81457925,city,Chevron,"Silent, dark, fast moving object spotted over Jonesboro, AR."
41960,11/17/14,17,11,2014,Kennesaw,GA,"Kennesaw, GA",-84.6154897,34.0234337,city,Unknown,Three large white bright lights hovering less than 100 feet above the ground.
41960,11/17/14,17,11,2014,Newton (near),IL,"Newton (near), IL",-93.3057099,44.99522,residential,Cigar,Can't explain but blue light lost 3 minutes.
41960,11/17/14,17,11,2014,Trussville,AL,"Trussville, AL",-86.6084342,33.6196266,city,Cross,"Very large low flying aircraft covered ten or more bright, non-blinking white lights."
41960,11/17/14,17,11,2014,Lincoln,NE,"Lincoln, NE",-96.6674005,40.8000554,city,Circle,"Red/green light shooting in Lincoln, NE, night sky 11/17/14. ((NUFORC Note: Possible Leonid meteor?? PD))"
41960,11/17/14,17,11,2014,Miami,FL,"Miami, FL",-80.1936589,25.7742658,city,Circle,"FL-91 N Miami, FL 33169 United States I was in this location taking a curve to get on the 826 south.
I never look at the sky until"
41960,11/17/14,17,11,2014,Mechanicsville,MD,"Mechanicsville, MD",-77.7444376,39.2198247,hamlet,Unknown,Very loud object with bright lights flew over house. Base sent jet out on search
41960,11/17/14,17,11,2014,Atoka,TN,"Atoka, TN",-89.7781379,35.4411945,administrative,Circle,"Several sightings in Atoka, TN."
41960,11/17/14,17,11,2014,Madison,WI,"Madison, WI",-89.3837613,43.074761,city,Fireball,"While walking easterly on a cold night, I saw this bright object moving from high in the southern sky, to medium low in the eastern sky"
41960,11/17/14,17,11,2014,Chattanooga,TN,"Chattanooga, TN",-85.3096801,35.0456297,city,Triangle,Unusual bright flying object.
41960,11/17/14,17,11,2014,Keller,WA,"Keller, WA",-118.6837661,48.0772004,hamlet,Circle,"Seen object then plane came into view, object viered left and up followed then exited up and to the left"
41960,11/17/14,17,11,2014,Detroit,MI,"Detroit, MI",-83.0567375,42.3486635,city,Fireball,Large green fireball descends from sky above Detroit silently‰Û¡Å¡_
41959,11/16/14,16,11,2014,North Sacramento,CA,"North Sacramento, CA",-121.4574543,38.6060158,hamlet,Unknown,Red star life formation seemed to glide left to right in a downward motion for just a short distance then shot left and disappeared and
41959,11/16/14,16,11,2014,Houston,TX,"Houston, TX",-95.52668411,29.974291,city,Circle,Blue light in the sky appears and vanishes instantly.
41959,11/16/14,16,11,2014,Topeka,KS,"Topeka, KS",-95.6775557,39.0490111,city,Fireball,"An orange and red ball of fire was seen S of Topeka, KS, arching across the sky from W to E, before burning out."
41959,11/16/14,16,11,2014,Lakeville,MN,"Lakeville, MN",-93.2432791,44.650051,city,,"Driving S on I-35 southbound, driver and passenger witnessed a white ball of light falling just south of Lakeville Mcstop."
41959,11/16/14,16,11,2014,Lincoln,NE,"Lincoln, NE",-96.6674005,40.8000554,city,Flash,While driving i seen what looked like something falling from the sky and before i could find my phone to try and get it on camera if fl
41959,11/16/14,16,11,2014,West Allis,WI,"West Allis, WI",-88.0070315,43.0166806,city,Triangle,4 wedge shaped objects emitting bright lights were flying at a fast pace from the southwest and headed northeast.
41959,11/16/14,16,11,2014,Stockton,CA,"Stockton, CA",-121.2907796,37.9577016,city,Disk,Flying saucers seen in Stockton.
41959,11/16/14,16,11,2014,Coventry,RI,"Coventry, RI",-71.6828444,41.7000996,town,Fireball,I was walking my dogs on this particular night and observed what looked like a plane taking off from Green Airport.
41959,11/16/14,16,11,2014,North Canton,OH,"North Canton, OH",-81.4023356,40.875891,city,Formation,Lights in formation over North Canton.
41959,11/16/14,16,11,2014,Eugene,OR,"Eugene, OR",-123.0950506,44.0505054,city,Unknown,"Moving light slowed, then stopped, then slowly faded to darkness."
41959,11/16/14,16,11,2014,Shoreline,WA,"Shoreline, WA",-122.3438255,47.7563195,city,Chevron,I saw something strange in the sky like nothing I have seen before.
41959,11/16/14,16,11,2014,Gilson,IL,"Gilson, IL",-90.2015111,40.8617048,hamlet,Sphere,Small brown iridescent sphere hovering in front of me while deer hunting.
41959,11/16/14,16,11,2014,Marysville,WA,"Marysville, WA",-122.1633358,48.0627432,administrative,Formation,A large formation of small pink UFO's.
41959,11/16/14,16,11,2014,Albany,NY,"Albany, NY",-73.754968,42.6511674,city,Circle,"My husband and I were driving to Walmart in Albany, NY. There was a huge light that was shining in the sky."
41959,11/16/14,16,11,2014,Washington,MA,"Washington, MA",-73.116214,42.36592,administrative,Other,Black oddly shaped (like large tarpaulin) object moving directly south to north very quickly and high.
41959,11/16/14,16,11,2014,Casa Grande,AZ,"Casa Grande, AZ",-111.7363127,32.8870555,city,Fireball,I stepped outside to have a cigarette on my back porch and saw in the sky a bright blue explosion or meteor falling towards the earth!
41958,11/15/14,15,11,2014,La Puente,CA,"La Puente, CA",-117.9503677,34.01979,city,Circle,The object omitted red and green lights.
41958,11/15/14,15,11,2014,Shaker Heights,OH,"Shaker Heights, OH",-81.5370671,41.4739419,city,,"Slow flying object that looked like a ball of fire. Orange w/ red mixed in. It came across the sky, and then it just disappeared."
41958,11/15/14,15,11,2014,Ipswich,MA,"Ipswich, MA",-70.8411612,42.6792602,administrative,Sphere,Three orange lights above beach.
41958,11/15/14,15,11,2014,Riverside,TX,"Riverside, TX",-95.4035523,30.8529664,village,Formation,"We witnessed 20 bright orange aircraft traveling from east to west, flying low, equally spaced apart, about the speed of airplane."
41958,11/15/14,15,11,2014,Oxnard,CA,"Oxnard, CA",-119.1770516,34.1975048,city,Light,"4 red lights/orbs over Oxnard, California."
41958,11/15/14,15,11,2014,Newark,TX,"Newark, TX",-97.4844657,33.0012356,city,Triangle,"3 Black Triangular Objects flying silently overhead. ((NUFORC Note: Witness is highly experienced, and credible. PD))"
41958,11/15/14,15,11,2014,Dracut,MA,"Dracut, MA",-71.3020052,42.6703687,administrative,Light,"20 lights move across the sky in Dracut, MA."
41958,11/15/14,15,11,2014,Elmira,NY,"Elmira, NY",-76.8077338,42.0897965,city,Formation,"Orange light formation flies over Elmira, New York."
41958,11/15/14,15,11,2014,Phoenix,AZ,"Phoenix, AZ",-112.0756724,33.4467681,city,Circle,"8 red orbs moving in all directions above South Mountain, not flares, not aircraft, occasional a formation of 2, disappeared 2, 3, 2, 1"
41958,11/15/14,15,11,2014,Hanover,MA,"Hanover, MA",-70.8119859,42.1131572,administrative,Light,"Driving home from dinner, my wife and I noticed three lights in the sky, one was clearly a helicopter, the other a plane but third seem"
41958,11/15/14,15,11,2014,West Park,FL,"West Park, FL",-80.18285901,25.979051,administrative,Fireball,"Around 7:30pm last night, my girlfriend and I witnessed what we thought to be falling stars. 5 objs. in the sky with flames behind."
41958,11/15/14,15,11,2014,Astoria (Queens),NY,"Astoria (Queens), NY",-73.9302673,40.7720145,neighbourhood,Fireball,Walking to N train on Hoyt ave when I saw a fireball seemed so close then it just fizzled out. Happened so quick.
